Label;Object ID;Total Intensity CSU 561;Mean Intensity CSU 561;Total Intensity CSU 488;Mean Intensity CSU 488;Total Intensity CSU 405;Mean Intensity CSU 405;Area;Parent Object ID (MO);Parent Trace ID;cell cycle
nucleus;827;5236107;23.714.253;346236;15.680.978;4271653;19.346.255;2208;894;-1;G1
nucleus;828;4812478;23.136.914;310334;14.919.904;4247827;20.422.245;2080;894;-1;G1
nucleus;829;3904550;2.405.761;1894383;11.672.107;5061656;31.187.036;1623;895;-1;S
nucleus;830;3984106;21.735.439;1923575.1;10.494.136;4461069;24.337.529;1833;895;-1;S
nucleus;831;3762388;18.036.376;1492889;71.567.065;4709698;22.577.651;2086;895;-1;S
nucleus;832;3564176;17.318.639;1412120;68.616.132;5041441;24.496.797;2058;895;-1;S
nucleus;833;2204713;11.634.369;2113140;11.151.134;5606985;29.588.311;1895;895;-1;S
nucleus;834;1767651;10.367.455;1854748;10.878.287;4955530;29.064.692;1705;895;-1;S
nucleus;836;3778520.2;22.491.191;258968.98;15.414.821;4414981;26.279.648;1680;897;-1;G1
nucleus;837;3812282;26.771.643;233243.98;16.379.494;4271294;29.995.042;1424;897;-1;G1
nucleus;838;4035962;31.930.078;1304128;10.317.468;3950839;31.256.638;1264;898;-1;S
nucleus;839;4205839;24.798.579;1334158;78.664.978;4000487.2;23.587.778;1696;898;-1;S
nucleus;840;3697119;24.323.152;1049848;69.068.945;4581005;30.138.191;1520;899;-1;S
nucleus;841;3597967;24.711.311;1012018;69.506.732;4522956;31.064.258;1456;899;-1;S
nucleus;842;1567357;94.192.126;2085551;12.533.359;7862301;47.249.404;1664;900;-1;G2
nucleus;843;1700473;8.175.351;2449936;11.778.539;8618302;41.434.146;2080;900;-1;G2
nucleus;844;3956898;30.840.981;1490612;11.618.176;4273728;3.331.043;1283;901;-1;S
nucleus;845;3607482;37.695.737;1278473;13.359.175;4147764.2;43.341.318;957;901;-1;S
nucleus;846;3773302;24.549.785;229731.98;14.946.779;3301101.2;21.477.561;1537;902;-1;G1
nucleus;847;2887875;21.762.434;302583;22.802.034;3113883;23.465.583;1327;902;-1;G1
nucleus;848;2464169;17.112.285;190299;13.215.208;3400890;23.617.292;1440;905;-1;G1
nucleus;849;946120;1085;101843;11.679.243;2192686;25.145.481;872;905;-1;G1
nucleus;850;4754656;15.517.806;386812;12.624.413;7212812.5;2.354.051;3064;905;-1;G1
nucleus;851;2149837;12.221.927;1627894;92.546.558;4376965;24.883.257;1759;906;-1;S
nucleus;852;2553607;12.177.429;1886202;89.947.638;4749114;22.647.183;2097;906;-1;S
nucleus;854;3737247;21.380.132;234666.02;13.424.829;3888780.2;22.247.026;1748;910;-1;G1
nucleus;855;1830282;21.685.806;114499;13.566.232;1832061.9;21.706.895;844;910;-1;G1
nucleus;857;3118574;18.843.347;226095;1.366.133;3460727.8;20.910.742;1655;913;-1;G1
nucleus;858;3213819;17.533.109;246850;13.466.994;3142190;17.142.335;1833;913;-1;G1
nucleus;859;2635883;1.238.085;880652;41.364.584;3789133;17.797.712;2129;914;-1;S
nucleus;860;2583759;13.464.091;861311;44.883.325;3821946;19.916.342;1919;914;-1;S
nucleus;863;2231655;16.817.295;171931;12.956.367;4107650;30.954.409;1327;917;-1;G1
nucleus;864;2288450;18.560.016;163145;13.231.549;4065873;32.975.449;1233;917;-1;G1
nucleus;865;2017028;16.123.325;168577;1.347.538;4108601;32.842.534;1251;917;-1;G1
nucleus;866;2207144;13.036.881;214690;12.681.039;4348863;25.687.319;1693;917;-1;G1
nucleus;868;3836288;20.053.779;1478724;77.298.694;4794946;25.065.061;1913;920;-1;S
nucleus;869;3540653;19.780.184;1455824;81.330.951;4461026;24.921.934;1790;920;-1;S
nucleus;870;4837533;34.284.429;204781.98;14.513.252;3421686;24.250.078;1411;921;-1;G1
nucleus;871;5226418;34.452.327;219459.98;1.446.671;3413399;22.500.981;1517;921;-1;G1
nucleus;872;2506398;13.067.769;2175484;11.342.461;4468563;23.298.035;1918;922;-1;S
nucleus;873;2298869;15.596.127;2107454;14.297.517;4014227;27.233.562;1474;922;-1;S
nucleus;875;4283298;23.215.708;268390;14.546.884;3756143;20.358.499;1845;924;-1;G1
nucleus;876;3987163;19.525.774;278249;13.626.297;3493418;17.107.826;2042;924;-1;G1
nucleus;879;2769882;18.392.311;3233208.8;2.146.885;4401940;29.229.348;1506;927;-1;S
nucleus;880;2635660;17.004.258;3215076.2;20.742.427;4410620;28.455.613;1550;927;-1;S
nucleus;881;2359383;13.528.572;5287339;3.031.731;5498885;31.530.303;1744;930;-1;S
nucleus;882;2342814;13.433.567;5397572;3.094.938;5315470;30.478.613;1744;930;-1;S
nucleus;883;2777685;28.665.481;411833;42.500.827;3707183;38.257.822;969;931;-1;G1
nucleus;884;3664585;21.518.408;572367;33.609.335;4006179.8;2.352.425;1703;931;-1;G1
nucleus;885;2451725;22.349.363;165724;15.107.019;2385216;21.743.081;1097;933;-1;G1
nucleus;886;3674677;24.064.683;256102.98;16.771.643;3245805.2;21.256.091;1527;933;-1;G1
nucleus;889;1458636;66.392.169;6254353.5;2846.77;6514560;2.965.207;2197;938;-1;G2
nucleus;890;1420925;674.383;6117333;29.033.379;6771809;32.139.578;2107;938;-1;G2
nucleus;892;2583326;17.939.764;3871867.2;26.887.966;5895981;40.944.312;1440;940;-1;S
nucleus;893;3265331;18.553.018;4461874;25.351.558;6503054;3.694.917;1760;940;-1;S
nucleus;894;3090899;29.720.183;427648;41.120.001;3528399;33.926.914;1040;941;-1;G1
nucleus;895;2916675;25.674.956;431436;37.978.522;3552229;31.269.622;1136;941;-1;G1
nucleus;896;3427830;23.526.631;201270;13.814.001;3622564;24.863.171;1457;942;-1;G1
nucleus;897;3478634;2.235.626;214519;13.786.568;5022542;32.278.547;1556;942;-1;G1
nucleus;898;6066981;20.756.008;723696;24.758.673;7925787.5;27.115.249;2923;942;-1;G1
nucleus;901;1703573;73.875.671;3804811;16.499.614;7031802;30.493.503;2306;945;-1;G2
nucleus;902;1466101;81.179.456;3391375;18.778.378;7062486;39.105.681;1806;945;-1;G2
